year_month,category,amount,monthly_amount_lag1,rolling_mean_3m,monthly_change,monthly_pct_change,rolling_var_3m,cumulative_spend,category_ratio,category_encoded
2021-04-01,BBonus,0.03495643948887647,0.03691953081469276,0.040064895522069356,0.3731355963679537,9.724221572497672e-06,0.0005831622867064067,0.00321470077141685,0.024137162174542533,0
2021-11-01,BBonus,0.02891875001066674,0.034956496063929594,0.04345462302575576,0.36948288721129147,8.496403354739426e-06,0.00013557472176614315,0.004215144028457367,0.025231029602540204,0
2021-02-01,Bnous,0.03481928421440697,0.02153718669784409,0.03375478739982236,0.38680209070211335,1.6604128248039635e-05,0.00044509001294050726,0.0027083503488181536,0.024990303594221826,1
2022-12-01,Bnous,0.03305007642046871,0.03481934079750072,0.038544958955758615,0.3733093519344288,9.748455238334543e-06,0.00040560311997776463,0.00385171642475773,0.025887055514749055,1
2019-11-01,Bonnus,0.04294382929235759,0.03076516446726132,0.042561919501465734,0.3858129220349808,1.4335943881585248e-05,0.0006534812416500743,0.0034150727971748165,0.08260967850216092,3
2021-03-01,Bonnus,0.022524837805709817,0.04294388539915516,0.041488334697300004,0.3565908218638294,5.386936827363201e-06,0.0008228653861169893,0.0041943193087929966,0.021753111116990364,3
2021-11-01,Bonnus,0.030698434943626965,0.02252489510955753,0.04145959079357401,0.3822225428849657,1.3997110947893872e-05,0.0008235594675832689,0.005256330585917178,0.026783771550215323,3
2022-11-01,Bons,0.026581395541582235,0.02803015510927179,0.03605224656192114,0.37359666765000077,9.739492780322652e-06,1.1667718132414061e-05,0.0028927084287582658,0.019603984192736897,4
2021-05-01,Bonu,0.020935646309512793,0.021606240564622514,0.03343470350047366,0.3742942514230239,9.951568980146571e-06,0.000491601533231639,0.00268266542954857,0.014688480951162373,6
2021-06-01,Bonu,0.024702177787913233,0.020935703706525827,0.028990280043641452,0.37827184506638784,1.2118042442376189e-05,3.147876563731605e-05,0.0035372367974211023,0.020896359189086125,6
2022-04-01,Bonu,0.026045156517093816,0.0247022349641158,0.030904008090998265,0.3760992601086677,1.0828670548719478e-05,5.4710621414394e-05,0.00443826837846889,0.019803408137398414,6
2019-03-01,Bonus,0.3965215546700908,0.5543663474314342,0.64174009023122,0.2333959906436683,7.34601864228507e-06,0.05862970117173649,0.051495725946567726,0.5817414958506407,7
2019-04-01,Bonus,0.4854567492581357,0.3965215900486234,0.6192362826905443,0.45462098019485386,1.2573830817830768e-05,0.04883057909470965,0.0682900550684902,0.7610215958042114,7
2019-05-01,Bonus,0.6619217731045048,0.48545677942290016,0.6656055375541154,0.5330867740421991,1.4003617959458555e-05,0.14229103366176452,0.09118917382537686,0.9945552070824552,7
2019-06-01,Bonus,0.6173448802011395,0.6619217929241217,0.7608067838897811,0.33493455989678833,9.578649047458976e-06,0.06565872722992282,0.11254615948515588,0.9638339358554903,7
2019-07-01,Bonus,0.35083265632962035,0.6173449026340478,0.7027677094270559,0.13598144785774754,5.836508151955636e-06,0.22066546463695852,0.12468318174131691,0.5946416381652665,7
2019-08-01,Bonus,0.5912106093780037,0.35083269438663495,0.672282746389663,0.5903812846043602,1.7307198082404492e-05,0.16829210951673307,0.14513605494775603,0.8629158945631704,7
2019-09-01,Bonus,0.3159204479404361,0.5912106333430167,0.5423327895260499,0.12811249797747667,5.488025320769284e-06,0.17516939897639075,0.15606529288914228,0.5938492320579795,7
2019-10-01,Bonus,0.4073125316291344,0.31592048804415634,0.5666823663131303,0.4568234494023363,1.324140376965887e-05,0.153297566372638,0.17015623071336922,0.7322727861894438,7
2019-11-01,Bonus,0.4740152372125458,0.407312566375053,0.5161571535979771,0.4346907471105132,1.1952211470075246e-05,0.04912007980579789,0.18655474188439258,0.9118478279875835,7
2019-12-01,Bonus,0.47545298642651607,0.4740152680480615,0.584934745179134,0.3761842167615634,1.0301455468699506e-05,0.011819315114103607,0.2030029918439181,0.8125898844726299,7
2020-01-01,Bonus,0.16854520058858383,0.47545301717774463,0.48199748778281426,0.09976899474933731,3.6407131411537143e-06,0.24368705714315225,0.20883379802317145,0.384995564831354,7
